Charging Station ID,station_id,Charging Station Location,Charger Type,State,lat,lon
Station_150,Houston_150,Houston,Level 1,TX,29.637428843178462,-95.77431980487677
Station_288,San Francisco_288,San Francisco,DC Fast Charger,CA,37.73785436576709,-122.47716145984388
Station_361,Houston_361,Houston,Level 1,TX,29.626589706151798,-95.04567222853196
Station_340,San Francisco_340,San Francisco,Level 1,CA,37.80516411517672,-122.46965153907225
Station_129,Los Angeles_129,Los Angeles,Level 2,CA,34.12603513244167,-118.46822773045906
Station_438,Chicago_438,Chicago,DC Fast Charger,NY,42.01496451179362,-87.7472822219133
Station_239,New York_239,New York,DC Fast Charger,NY,40.603898471594164,-74.12448977046054
Station_58,Chicago_58,Chicago,Level 1,NY,41.87016093500689,-87.82964852442036
Station_198,New York_198,New York,Level 2,NY,40.74137197579613,-73.74028449867454
Station_211,Houston_211,Houston,Level 2,TX,29.73964030308424,-95.62454339267417
Station_402,Houston_402,Houston,DC Fast Charger,TX,30.098522563897067,-95.39237896505882
Station_390,New York_390,New York,Level 1,NY,40.529091047234736,-74.2422013384994
Station_45,Chicago_45,Chicago,DC Fast Charger,NY,41.68495614344377,-87.6764726624847
Station_97,New York_97,New York,DC Fast Charger,NY,40.830594126676075,-74.02092561958818
Station_279,Los Angeles_279,Los Angeles,Level 2,CA,34.347478897156066,-118.40015168399944
Station_23,Houston_23,Houston,Level 2,TX,30.08264702656817,-95.1113762382124
Station_410,Los Angeles_410,Los Angeles,Level 2,CA,34.14311173986727,-118.39614513149151
Station_461,Houston_461,Houston,Level 2,TX,29.660095113971526,-95.28723056113616
Station_391,Houston_391,Houston,Level 1,TX,29.883656079074733,-95.77999139582187
Station_44,Los Angeles_44,Los Angeles,Level 2,CA,33.99492040911399,-118.18355387696424
Station_27,Los Angeles_27,Los Angeles,DC Fast Charger,CA,34.26930441124583,-118.53567158411694
Station_282,San Francisco_282,San Francisco,Level 1,CA,37.760070333566034,-122.49141569911518
Station_97,Chicago_97,Chicago,Level 2,NY,42.014177414131375,-87.57438220066855
Station_463,Los Angeles_463,Los Angeles,Level 1,CA,33.89398911444162,-118.34413575761833
Station_36,New York_36,New York,Level 2,NY,40.751857190918415,-74.1798248315557
Station_109,San Francisco_109,San Francisco,DC Fast Charger,CA,37.79150129600902,-122.43369935518086
Station_55,Los Angeles_55,Los Angeles,Level 1,CA,34.20610721110987,-118.39951962718045
Station_192,Chicago_192,Chicago,Level 2,NY,41.640234477412456,-87.80385445605803
Station_219,Los Angeles_219,Los Angeles,DC Fast Charger,CA,34.27116922058507,-118.2458505800258
Station_185,Houston_185,Houston,DC Fast Charger,TX,29.684508475241596,-95.75365986680465
Station_69,New York_69,New York,DC Fast Charger,NY,40.86754412765774,-73.71129982727419
Station_317,San Francisco_317,San Francisco,Level 2,CA,37.71027841424815,-122.44224152586933
Station_130,Houston_130,Houston,DC Fast Charger,TX,29.541527511081032,-95.19151826779421
Station_55,Chicago_55,Chicago,DC Fast Charger,NY,41.95399211601586,-87.8860755849101
Station_378,Houston_378,Houston,Level 2,TX,29.78516942685924,-95.36015712520404
Station_97,Houston_97,Houston,Level 1,TX,29.659033977364036,-95.10205356713179
Station_336,Chicago_336,Chicago,DC Fast Charger,NY,41.81348655548236,-87.85104475371432
Station_87,Houston_87,Houston,Level 2,TX,29.823577653267677,-95.21605514472802
Station_294,San Francisco_294,San Francisco,Level 1,CA,37.724138127606764,-122.47012539339185
Station_119,Los Angeles_119,Los Angeles,DC Fast Charger,CA,34.34684708182958,-118.33856219060388
Station_208,Houston_208,Houston,Level 2,TX,29.762860050348703,-95.38593932717153
Station_334,San Francisco_334,San Francisco,Level 2,CA,37.7145205035042,-122.48404842607495
Station_413,Los Angeles_413,Los Angeles,DC Fast Charger,CA,33.91975561539585,-118.36996255358682
Station_154,Los Angeles_154,Los Angeles,Level 1,CA,33.74614550590587,-118.34813749179224
Station_35,Houston_35,Houston,Level 1,TX,29.637365070286695,-95.0756639895951
Station_79,San Francisco_79,San Francisco,Level 1,CA,37.72856055612428,-122.41296355547259
Station_67,Houston_67,Houston,DC Fast Charger,TX,29.628542084422264,-95.69415052101998
Station_343,Chicago_343,Chicago,DC Fast Charger,NY,42.02356083863807,-87.70016190080338
Station_413,Los Angeles_413,Los Angeles,Level 1,CA,33.91975561539585,-118.36996255358682
Station_34,Houston_34,Houston,Level 1,TX,29.78360261578708,-95.1723044605674
Station_97,Los Angeles_97,Los Angeles,Level 1,CA,34.22487304854832,-118.57289094367545
Station_169,San Francisco_169,San Francisco,Level 1,CA,37.71163169770746,-122.45103181081498
Station_169,New York_169,New York,Level 2,NY,40.67213880789857,-73.99445544585836
Station_151,Houston_151,Houston,DC Fast Charger,TX,29.93744550967591,-95.26130836216535
Station_71,Houston_71,Houston,Level 1,TX,30.09049912681958,-95.72126570307843
Station_3,Los Angeles_3,Los Angeles,Level 2,CA,34.26008714862932,-118.54318526970066
Station_314,San Francisco_314,San Francisco,Level 1,CA,37.7228250690129,-122.44822183234669
Station_32,Chicago_32,Chicago,Level 1,NY,41.8129714723321,-87.82301103923989
Station_287,San Francisco_287,San Francisco,Level 2,CA,37.729976773745854,-122.37227750411584
Station_82,Houston_82,Houston,Level 1,TX,29.765878447032076,-95.11092071619053
Station_43,Chicago_43,Chicago,Level 1,NY,41.865633378104434,-87.91875290159955
Station_391,San Francisco_391,San Francisco,Level 2,CA,37.758276935054084,-122.48580043212813
Station_105,New York_105,New York,Level 2,NY,40.662447325796265,-74.23540511401642
Station_1,Los Angeles_1,Los Angeles,Level 2,CA,33.946332527334995,-118.16749248967234
Station_61,San Francisco_61,San Francisco,Level 2,CA,37.73182436698066,-122.39454870368823
Station_270,San Francisco_270,San Francisco,Level 2,CA,37.7546010040807,-122.45231880224158
Station_180,New York_180,New York,Level 1,NY,40.72898037906442,-73.84613911757518
Station_224,Houston_224,Houston,DC Fast Charger,TX,29.592878095164437,-95.56263373960435
Station_6,Los Angeles_6,Los Angeles,Level 2,CA,34.32966108722996,-118.37461805168371
Station_103,San Francisco_103,San Francisco,DC Fast Charger,CA,37.765063424164914,-122.40032391033935
Station_10,Chicago_10,Chicago,Level 1,NY,41.73343829301714,-87.81845705528711
Station_71,San Francisco_71,San Francisco,Level 2,CA,37.706859832748904,-122.42653158488656
Station_90,Los Angeles_90,Los Angeles,DC Fast Charger,CA,34.02685274889769,-118.23511285505538
Station_226,San Francisco_226,San Francisco,DC Fast Charger,CA,37.71889192735274,-122.36627537547609
Station_158,New York_158,New York,DC Fast Charger,NY,40.524447930053455,-74.16036327302137
Station_228,San Francisco_228,San Francisco,DC Fast Charger,CA,37.771404212774,-122.41196599142334
Station_405,San Francisco_405,San Francisco,DC Fast Charger,CA,37.72822446740011,-122.50081814176846
Station_126,Chicago_126,Chicago,Level 2,NY,42.00501779879307,-87.83658955392877
Station_444,New York_444,New York,Level 2,NY,40.74564323601938,-73.90456490890406
Station_209,New York_209,New York,Level 2,NY,40.67026671359443,-73.92563334931818
Station_97,San Francisco_97,San Francisco,DC Fast Charger,CA,37.72451110393083,-122.4054093118737
Station_74,Chicago_74,Chicago,DC Fast Charger,NY,41.7378612405725,-87.77376994434768
Station_115,San Francisco_115,San Francisco,Level 1,CA,37.7806028267552,-122.47200046723219
Station_191,San Francisco_191,San Francisco,DC Fast Charger,CA,37.73794126355263,-122.3997016812137
Station_495,Los Angeles_495,Los Angeles,Level 1,CA,34.34899538655539,-118.1619908115939
Station_170,Los Angeles_170,Los Angeles,Level 1,CA,33.872380269587765,-118.19403771722321
Station_307,Chicago_307,Chicago,Level 2,NY,42.00115431121144,-87.57070649815648
Station_448,Houston_448,Houston,DC Fast Charger,TX,29.72171625324333,-95.67380253411422
Station_204,Los Angeles_204,Los Angeles,DC Fast Charger,CA,34.24193422051587,-118.31119463820544
Station_56,Houston_56,Houston,Level 1,TX,29.86700665943557,-95.0102135490948
Station_208,New York_208,New York,Level 1,NY,40.77120981661562,-74.26538436678022
Station_41,Los Angeles_41,Los Angeles,DC Fast Charger,CA,34.231117687825055,-118.51731683637801
Station_32,Los Angeles_32,Los Angeles,Level 1,CA,34.13120266472795,-118.19114569799717
Station_15,Chicago_15,Chicago,DC Fast Charger,NY,41.69505935690128,-87.89151995842397
Station_62,Houston_62,Houston,DC Fast Charger,TX,29.56422158662565,-95.35742108729215
Station_155,Los Angeles_155,Los Angeles,Level 1,CA,33.87702633800463,-118.36153678821458
Station_284,Los Angeles_284,Los Angeles,Level 2,CA,34.16644792164022,-118.566165370713
Station_209,Chicago_209,Chicago,DC Fast Charger,NY,41.90003756314288,-87.82912676131522
Station_320,Chicago_320,Chicago,Level 1,NY,41.84029805938124,-87.55975867374669
Station_494,Houston_494,Houston,Level 1,TX,30.007662227976915,-95.72616122582981
Station_187,New York_187,New York,Level 1,NY,40.6721375822024,-74.10675866785637
Station_498,New York_498,New York,DC Fast Charger,NY,40.763958752239596,-74.11544639516373
Station_442,San Francisco_442,San Francisco,DC Fast Charger,CA,37.788947709001754,-122.43173113261977
Station_130,Los Angeles_130,Los Angeles,DC Fast Charger,CA,34.28755357151393,-118.39174895250518
Station_127,Houston_127,Houston,Level 1,TX,30.00075701193161,-95.33399234680816
Station_292,Los Angeles_292,Los Angeles,Level 2,CA,33.90036792745459,-118.21151944074127
Station_114,Houston_114,Houston,Level 2,TX,29.977673382932828,-95.11143793439928
Station_199,Houston_199,Houston,DC Fast Charger,TX,30.039354781915886,-95.6319387693282
Station_13,Houston_13,Houston,DC Fast Charger,TX,29.649717843533754,-95.71776510266257
Station_271,Los Angeles_271,Los Angeles,DC Fast Charger,CA,34.20707555721644,-118.21909130225998
Station_89,Chicago_89,Chicago,Level 2,NY,41.80661472983117,-87.67932216573669
Station_215,Los Angeles_215,Los Angeles,Level 2,CA,33.80045966991594,-118.19576068199622
Station_444,Houston_444,Houston,DC Fast Charger,TX,30.01876341773198,-95.01903517365523
Station_278,San Francisco_278,San Francisco,Level 1,CA,37.702974363427785,-122.40214968451919
Station_447,New York_447,New York,Level 2,NY,40.63283975121696,-73.7208186272315
Station_474,Houston_474,Houston,DC Fast Charger,TX,29.981341083362285,-95.10874877729978
Station_481,San Francisco_481,San Francisco,Level 2,CA,37.79728991798893,-122.47731108646488
Station_203,Chicago_203,Chicago,Level 1,NY,41.96282354874554,-87.89459983691076
Station_74,Houston_74,Houston,Level 1,TX,30.023300069743655,-95.11312539892977
Station_25,San Francisco_25,San Francisco,Level 2,CA,37.726692046105484,-122.38934614310449
Station_101,Houston_101,Houston,DC Fast Charger,TX,29.776181940807366,-95.55584730612912
Station_176,Los Angeles_176,Los Angeles,Level 2,CA,34.21697457444936,-118.55392630142204
Station_427,San Francisco_427,San Francisco,DC Fast Charger,CA,37.70283973216418,-122.48909923386756
Station_117,Los Angeles_117,Los Angeles,Level 2,CA,33.91337026827851,-118.22917999956455
Station_166,Los Angeles_166,Los Angeles,Level 1,CA,34.32847791763144,-118.52764625371185
Station_41,San Francisco_41,San Francisco,Level 2,CA,37.776977808632914,-122.45605145850239
Station_429,New York_429,New York,DC Fast Charger,NY,40.91189436549525,-73.95363271783755
Station_344,San Francisco_344,San Francisco,DC Fast Charger,CA,37.815504117891386,-122.47752538199632
Station_424,New York_424,New York,Level 1,NY,40.803274376080665,-74.08493038462495
Station_366,Houston_366,Houston,DC Fast Charger,TX,29.863725311983686,-95.39086155226441
Station_120,Houston_120,Houston,DC Fast Charger,TX,29.731117260006837,-95.33872956520273
Station_97,San Francisco_97,San Francisco,Level 1,CA,37.72451110393083,-122.4054093118737
Station_145,Houston_145,Houston,DC Fast Charger,TX,29.652833503683148,-95.23297177293266
Station_216,Chicago_216,Chicago,DC Fast Charger,NY,41.64069342406964,-87.55125843049038
Station_229,Los Angeles_229,Los Angeles,Level 2,CA,34.049993798110314,-118.30309070043613
Station_313,Los Angeles_313,Los Angeles,Level 2,CA,34.18226755059566,-118.32797946273917
Station_130,New York_130,New York,Level 2,NY,40.64661523286595,-74.22871545143548
Station_352,Houston_352,Houston,Level 2,TX,29.898542610946766,-95.53583997116593
Station_377,New York_377,New York,Level 2,NY,40.799494333096,-74.09280986175536
Station_318,Los Angeles_318,Los Angeles,Level 2,CA,34.311236385974624,-118.3245678479109
Station_472,Los Angeles_472,Los Angeles,Level 2,CA,34.28682360472618,-118.3560873928648
Station_137,Houston_137,Houston,Level 1,TX,29.68056992473934,-95.36165022949145
Station_324,Chicago_324,Chicago,Level 2,NY,41.64016643527589,-87.81949623891505
Station_337,Chicago_337,Chicago,DC Fast Charger,NY,41.81625414149583,-87.69640639189781
Station_273,Houston_273,Houston,Level 1,TX,29.892823374221845,-95.42800944780238
Station_117,Houston_117,Houston,Level 2,TX,29.765295879582887,-95.62903887920872
Station_306,New York_306,New York,Level 2,NY,40.69347005994101,-73.73830331276133
Station_368,Houston_368,Houston,DC Fast Charger,TX,29.97761485607607,-95.66424688304156
Station_94,Chicago_94,Chicago,Level 1,NY,41.6747661700573,-87.72351015583561
Station_168,Houston_168,Houston,DC Fast Charger,TX,29.879764513459477,-95.53184939567215
Station_442,New York_442,New York,DC Fast Charger,NY,40.84192208975077,-73.82682849885097
Station_203,New York_203,New York,Level 1,NY,40.77930213833958,-74.1374620070616
Station_341,New York_341,New York,DC Fast Charger,NY,40.57562587107243,-74.25558902124116
Station_149,New York_149,New York,Level 1,NY,40.595282293953694,-73.98966955691091
Station_402,San Francisco_402,San Francisco,DC Fast Charger,CA,37.749732921319726,-122.41923753908196
Station_183,Houston_183,Houston,Level 1,TX,29.616661142043824,-95.2429165996076
Station_413,Los Angeles_413,Los Angeles,Level 2,CA,33.91975561539585,-118.36996255358682
Station_152,Houston_152,Houston,Level 1,TX,29.796626301406263,-95.60481244833724
Station_74,San Francisco_74,San Francisco,DC Fast Charger,CA,37.79011573719422,-122.39679260982815
Station_365,New York_365,New York,DC Fast Charger,NY,40.71272183269081,-74.24037115276703
Station_401,San Francisco_401,San Francisco,Level 2,CA,37.729903793559195,-122.38426618442374
Station_274,Chicago_274,Chicago,Level 2,NY,41.82714934844277,-87.60340502727665
Station_42,Chicago_42,Chicago,Level 2,NY,41.9137068703604,-87.52508516971209
Station_496,Houston_496,Houston,Level 1,TX,29.857271391081653,-95.03996831324548
Station_212,Houston_212,Houston,Level 1,TX,30.034855555486264,-95.30987814179059
Station_101,Los Angeles_101,Los Angeles,Level 1,CA,34.16752807482938,-118.41256313593955
Station_45,Los Angeles_45,Los Angeles,Level 1,CA,34.23986996031892,-118.39058530518848
Station_82,Chicago_82,Chicago,Level 1,NY,42.00785532232563,-87.62766471429298
Station_17,New York_17,New York,DC Fast Charger,NY,40.69411000783391,-74.11707698640564
Station_73,San Francisco_73,San Francisco,DC Fast Charger,CA,37.72966876850116,-122.41797417011581
Station_14,Los Angeles_14,Los Angeles,DC Fast Charger,CA,34.19777889479316,-118.40413709545773
Station_433,Los Angeles_433,Los Angeles,Level 1,CA,34.10738648403816,-118.52995530207205
Station_157,New York_157,New York,Level 2,NY,40.606837496045344,-74.08137135463294
Station_223,New York_223,New York,DC Fast Charger,NY,40.72226545568294,-74.18835930370547
Station_132,Houston_132,Houston,DC Fast Charger,TX,29.638756887836912,-95.24484015016075
Station_338,San Francisco_338,San Francisco,Level 1,CA,37.78477029700335,-122.50972338388577
Station_404,New York_404,New York,Level 1,NY,40.665267728956636,-73.9498594271027
Station_376,Los Angeles_376,Los Angeles,Level 1,CA,33.97309328655273,-118.2085323760465
Station_376,Los Angeles_376,Los Angeles,DC Fast Charger,CA,33.97309328655273,-118.2085323760465
Station_47,Chicago_47,Chicago,Level 2,NY,41.87947255982373,-87.64788034567086
Station_107,New York_107,New York,Level 1,NY,40.858394773890694,-73.81829920009034
Station_108,Houston_108,Houston,Level 1,TX,29.728228617356628,-95.7952831331328
Station_265,San Francisco_265,San Francisco,Level 2,CA,37.74221105632062,-122.3994439799905
Station_205,Houston_205,Houston,Level 2,TX,30.012068770341465,-95.03725572922392
Station_79,Los Angeles_79,Los Angeles,Level 2,CA,33.97236383370939,-118.2887670088212
Station_155,Houston_155,Houston,Level 1,TX,29.827679385840305,-95.317397928847
Station_271,Los Angeles_271,Los Angeles,Level 1,CA,34.20707555721644,-118.21909130225998
Station_476,Los Angeles_476,Los Angeles,DC Fast Charger,CA,33.91848420340395,-118.32363763863555
Station_485,Los Angeles_485,Los Angeles,DC Fast Charger,CA,34.104467024633145,-118.65624710952838
Station_247,Los Angeles_247,Los Angeles,DC Fast Charger,CA,33.95611316662081,-118.38216008865736
Station_19,Los Angeles_19,Los Angeles,DC Fast Charger,CA,33.7176163301212,-118.34219767951524
Station_346,Chicago_346,Chicago,DC Fast Charger,NY,41.69563678976453,-87.74608665349837
Station_436,Houston_436,Houston,DC Fast Charger,TX,29.530170780093176,-95.49671690864949
Station_26,Chicago_26,Chicago,Level 1,NY,41.726780716526704,-87.80272476194985
Station_217,Chicago_217,Chicago,DC Fast Charger,NY,41.952104180236546,-87.78076698946306
Station_154,New York_154,New York,Level 1,NY,40.59847675866643,-74.22167532267063
Station_174,New York_174,New York,Level 2,NY,40.91996036625896,-74.06352339720509
Station_92,San Francisco_92,San Francisco,Level 1,CA,37.77801729118999,-122.39500271206225
Station_433,New York_433,New York,Level 1,NY,40.77025450175488,-73.82500240960488
Station_338,Houston_338,Houston,Level 1,TX,30.069767039629596,-95.64051145410997
Station_480,Chicago_480,Chicago,Level 2,NY,41.64835580710134,-87.87599941477039
Station_181,Houston_181,Houston,Level 1,TX,29.575732584924523,-95.26443292430407
Station_131,New York_131,New York,Level 2,NY,40.73250692022991,-74.14140092086517
Station_450,San Francisco_450,San Francisco,DC Fast Charger,CA,37.78393579654954,-122.397296304263
Station_481,San Francisco_481,San Francisco,Level 1,CA,37.79728991798893,-122.47731108646488
Station_298,Chicago_298,Chicago,DC Fast Charger,NY,41.7087935487808,-87.68495605256581
Station_275,Houston_275,Houston,Level 1,TX,29.948755391173172,-95.70837370289688
Station_273,Los Angeles_273,Los Angeles,Level 2,CA,34.232545763302205,-118.17799240575262
Station_492,Houston_492,Houston,DC Fast Charger,TX,29.564859249794566,-95.77945725960203
Station_417,New York_417,New York,Level 1,NY,40.62414161508972,-73.87036510075826
Station_76,Los Angeles_76,Los Angeles,Level 1,CA,34.322812344833835,-118.46770623482652
Station_177,San Francisco_177,San Francisco,Level 2,CA,37.785801764605935,-122.5078405635451
Station_184,Chicago_184,Chicago,Level 1,NY,41.92315191053252,-87.67655819384755
Station_319,Chicago_319,Chicago,DC Fast Charger,NY,41.68177953523285,-87.61555802832048
Station_131,San Francisco_131,San Francisco,Level 2,CA,37.80203518869066,-122.4239341416293
Station_363,New York_363,New York,DC Fast Charger,NY,40.82653319893524,-74.06514977846801
Station_49,San Francisco_49,San Francisco,DC Fast Charger,CA,37.75140536158817,-122.4607086598051
Station_55,New York_55,New York,Level 1,NY,40.707563139561145,-74.06867360683184
Station_355,San Francisco_355,San Francisco,Level 2,CA,37.71266466447728,-122.36627398924567
Station_200,New York_200,New York,Level 2,NY,40.76330159562362,-73.78106268650855
Station_308,Los Angeles_308,Los Angeles,Level 2,CA,34.15975061840895,-118.44790155604609
Station_356,San Francisco_356,San Francisco,DC Fast Charger,CA,37.73240988756649,-122.39068812499092
Station_373,Chicago_373,Chicago,DC Fast Charger,NY,41.860650891643786,-87.73693104836906
Station_118,San Francisco_118,San Francisco,DC Fast Charger,CA,37.752268939160466,-122.40303580571118
Station_263,Houston_263,Houston,DC Fast Charger,TX,29.661037322829536,-95.11862947198453
Station_46,San Francisco_46,San Francisco,Level 1,CA,37.805795742080335,-122.48098184972945
Station_302,Houston_302,Houston,Level 2,TX,29.77882507996194,-95.31173463661558
Station_356,Los Angeles_356,Los Angeles,Level 1,CA,34.2531193436031,-118.57726167284957
Station_400,San Francisco_400,San Francisco,Level 1,CA,37.725454382021574,-122.3923468229075
Station_408,Los Angeles_408,Los Angeles,DC Fast Charger,CA,33.921220248056784,-118.2210368103233
Station_189,Los Angeles_189,Los Angeles,Level 2,CA,34.15576943771593,-118.52910302636434
Station_310,New York_310,New York,DC Fast Charger,NY,40.700088474144984,-73.82268285444535
Station_318,Los Angeles_318,Los Angeles,DC Fast Charger,CA,34.311236385974624,-118.3245678479109
Station_49,San Francisco_49,San Francisco,Level 2,CA,37.75140536158817,-122.4607086598051
Station_25,San Francisco_25,San Francisco,Level 1,CA,37.726692046105484,-122.38934614310449
Station_266,Chicago_266,Chicago,DC Fast Charger,NY,41.92314982917307,-87.66872078210879
Station_118,New York_118,New York,DC Fast Charger,NY,40.701053174083796,-73.80216960780194
Station_464,Los Angeles_464,Los Angeles,DC Fast Charger,CA,34.14966165094188,-118.51383492463366
Station_144,New York_144,New York,Level 2,NY,40.74006890169292,-73.99077631163188
Station_442,Houston_442,Houston,DC Fast Charger,TX,29.81855315868746,-95.45959694983583
Station_200,Los Angeles_200,Los Angeles,DC Fast Charger,CA,34.18485803386385,-118.50129643843007
Station_157,New York_157,New York,DC Fast Charger,NY,40.606837496045344,-74.08137135463294
Station_487,Chicago_487,Chicago,DC Fast Charger,NY,41.928170526296164,-87.82621510067
Station_348,Chicago_348,Chicago,Level 1,NY,41.74307550724239,-87.88932452840403
Station_134,Los Angeles_134,Los Angeles,Level 2,CA,34.04831157749944,-118.2812832991631
Station_400,Houston_400,Houston,Level 1,TX,29.6110899054626,-95.62689228809711
Station_148,Chicago_148,Chicago,Level 2,NY,41.83852142075721,-87.63567429954091
Station_71,Houston_71,Houston,Level 2,TX,30.09049912681958,-95.72126570307843
Station_233,New York_233,New York,Level 1,NY,40.909941019839714,-73.96046424722593
Station_334,Chicago_334,Chicago,DC Fast Charger,NY,41.75602946834273,-87.89777903460187
Station_299,San Francisco_299,San Francisco,Level 1,CA,37.72329410937093,-122.48360269384278
Station_154,Chicago_154,Chicago,Level 1,NY,41.71357103291101,-87.93405768575245
Station_90,New York_90,New York,Level 1,NY,40.719678088385095,-74.10815631719787
Station_334,New York_334,New York,Level 2,NY,40.908946820374176,-73.94351820958882
Station_199,Los Angeles_199,Los Angeles,Level 1,CA,34.15332130539163,-118.60559745859122
Station_161,San Francisco_161,San Francisco,Level 2,CA,37.80421534367155,-122.4414594088762
Station_26,New York_26,New York,Level 1,NY,40.86526948604937,-73.93130211042046
Station_121,Houston_121,Houston,Level 1,TX,29.781638166958306,-95.44762496149119
Station_301,San Francisco_301,San Francisco,Level 2,CA,37.79865387743593,-122.45588680923969
Station_212,San Francisco_212,San Francisco,Level 2,CA,37.70888986043068,-122.41928868688768
Station_63,Houston_63,Houston,Level 1,TX,29.53216544457552,-95.68064193242107
Station_451,Chicago_451,Chicago,Level 1,NY,41.87076423480467,-87.81238908502627
Station_68,Houston_68,Houston,Level 1,TX,30.096350873626132,-95.70523875023083
Station_253,Chicago_253,Chicago,Level 1,NY,41.953421812583734,-87.68534658647795
Station_410,Chicago_410,Chicago,DC Fast Charger,NY,41.9642037402358,-87.84521140243268
Station_459,Chicago_459,Chicago,Level 1,NY,41.85425473940339,-87.75078392474671
Station_2,Chicago_2,Chicago,Level 1,NY,41.821515611647925,-87.578730000353
Station_398,Chicago_398,Chicago,Level 2,NY,42.045912816791386,-87.81174029738587
Station_108,Houston_108,Houston,Level 2,TX,29.728228617356628,-95.7952831331328
Station_286,Los Angeles_286,Los Angeles,Level 2,CA,34.1036677586969,-118.35908823475498
Station_49,Los Angeles_49,Los Angeles,Level 1,CA,34.18105804856496,-118.18672899783405
Station_140,New York_140,New York,Level 2,NY,40.57934879950413,-74.14549513476982
Station_218,Los Angeles_218,Los Angeles,Level 1,CA,34.12927828917483,-118.58990088237576
Station_44,Los Angeles_44,Los Angeles,DC Fast Charger,CA,33.99492040911399,-118.18355387696424
Station_417,Houston_417,Houston,Level 2,TX,29.60428812899586,-95.73994810487906
Station_269,Chicago_269,Chicago,DC Fast Charger,NY,41.641097046267184,-87.75078844406056
Station_78,Chicago_78,Chicago,Level 1,NY,41.88346258999902,-87.81767109860697
Station_216,Houston_216,Houston,Level 1,TX,29.638885740733617,-95.23443533609677
Station_382,Los Angeles_382,Los Angeles,DC Fast Charger,CA,34.15694191276092,-118.43844402353241
Station_98,Houston_98,Houston,DC Fast Charger,TX,29.912430952042747,-95.06087116441397
Station_236,New York_236,New York,DC Fast Charger,NY,40.828766051458096,-73.90121577577311
Station_282,Chicago_282,Chicago,DC Fast Charger,NY,41.91108504756988,-87.54785924745288
Station_149,San Francisco_149,San Francisco,Level 2,CA,37.751016675932505,-122.43287001940631
Station_412,New York_412,New York,DC Fast Charger,NY,40.76848293106307,-73.73403724732457
Station_304,New York_304,New York,Level 2,NY,40.84545139864953,-74.22786819625507
Station_484,Houston_484,Houston,DC Fast Charger,TX,29.599553673532434,-95.55391054990861
Station_424,Los Angeles_424,Los Angeles,DC Fast Charger,CA,34.186822519345256,-118.37970440484726
Station_66,Chicago_66,Chicago,Level 2,NY,41.758330341205394,-87.88777146356662
Station_234,San Francisco_234,San Francisco,Level 1,CA,37.782641358945455,-122.40804261040388
Station_457,New York_457,New York,Level 1,NY,40.89535078351994,-73.97472141550043
Station_87,San Francisco_87,San Francisco,Level 1,CA,37.75925542632141,-122.5071293036961
Station_79,Los Angeles_79,Los Angeles,Level 1,CA,33.97236383370939,-118.2887670088212
Station_205,Los Angeles_205,Los Angeles,Level 2,CA,33.759362476310145,-118.17942533788165
Station_279,San Francisco_279,San Francisco,Level 1,CA,37.800315033668745,-122.4279681425248
Station_337,Chicago_337,Chicago,Level 2,NY,41.81625414149583,-87.69640639189781
